WARNING | 2023-04-18 22:25:25,432 | cle.loader | The main binary is a position-independent executable. It is being loaded with a base address of 0x400000.
DEBUG   | 2023-04-18 22:25:25,443 | arbiter.master_chief.sa_recon | Creating CFG
Identifying functions:   0%|          | 0/1411 [00:00<?, ?it/s]INFO    | 2023-04-18 22:25:31,345 | arbiter.master_chief.sa_recon | Starting recon of 0x403000
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403020
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40302d
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403030
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40303f
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403040
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40304f
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403050
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40305f
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403060
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40306f
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403070
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40307f
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403080
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40308f
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x403090
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x40309f
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x4030a0
INFO    | 2023-04-18 22:25:31,346 | arbiter.master_chief.sa_recon | Starting recon of 0x4030af
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030b0
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030bf
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030c0
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030cf
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030d0
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030df
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030e0
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030ef
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030f0
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x4030ff
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x403100
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x40310f
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x403110
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x40311f
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x403120
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x40312f
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x403130
INFO    | 2023-04-18 22:25:31,347 | arbiter.master_chief.sa_recon | Starting recon of 0x40313f
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x403140
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x40314f
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x403150
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x40315f
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x403160
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x40316f
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x403170
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x40317f
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x403180
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x40318f
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x403190
INFO    | 2023-04-18 22:25:31,348 | arbiter.master_chief.sa_recon | Starting recon of 0x40319f
